2018-06-01,186.31071223911533
2018-08-01,194.11863911220976
2018-09-01,196.21392622271458
2018-10-01,197.3256518942451
2018-11-01,197.74474140821943
2018-12-01,197.64347578027636
2019-01-01,196.07027513330436
2019-02-01,200.0760286373884
2019-03-01,203.6300332307205
2019-04-01,205.09294985136114
2019-05-01,205.56443607957203
2019-06-01,205.39190556153707
2019-07-01,206.95997639458832
2019-08-01,210.22539892101108
2019-09-01,211.8734590115537
2019-10-01,212.81619161755583
2019-11-01,215.23101370131408
2019-12-01,215.07652162496265
2020-01-01,213.98737085166684
2020-02-01,216.58788950988205
2020-03-01,220.527241449597
2020-04-01,221.17717204984635
2020-05-01,223.7949096460967
